"encuesta_id";"pregunta_id";"created_at";"updated_at"
1;1;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;2;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;3;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;4;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;5;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;6;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;7;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;8;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;9;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;10;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;11;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;12;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;13;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;14;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;15;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;16;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
1;17;"2019-08-03 06:07:41";"2019-08-03 06:07:41"
2;18;"2019-08-03 06:13:19";"2019-08-03 06:13:19"
2;19;"2019-08-03 06:13:19";"2019-08-03 06:13:19"
2;20;"2019-08-03 06:13:19";"2019-08-03 06:13:19"
2;21;"2019-08-03 06:13:19";"2019-08-03 06:13:19"
2;22;"2019-08-03 06:13:19";"2019-08-03 06:13:19"
2;23;"2019-08-03 06:13:19";"2019-08-03 06:13:19"
2;24;"2019-08-03 06:13:19";"2019-08-03 06:13:19"
2;25;"2019-08-03 06:13:19";"2019-08-03 06:13:19"
2;26;"2019-08-03 06:13:19";"2019-08-03 06:13:19"
2;27;"2019-08-03 06:13:19";"2019-08-03 06:13:19"
2;28;"2019-08-03 06:13:19";"2019-08-03 06:13:19"
2;29;"2019-08-03 06:13:19";"2019-08-03 06:13:19"
2;30;"2019-08-03 06:13:19";"2019-08-03 06:13:19"
2;31;"2019-08-03 06:13:19";"2019-08-03 06:13:19"
3;32;"2019-08-03 06:14:30";"2019-08-03 06:14:30"
3;33;"2019-08-03 06:14:30";"2019-08-03 06:14:30"
3;34;"2019-08-03 06:14:30";"2019-08-03 06:14:30"
3;35;"2019-08-03 06:14:30";"2019-08-03 06:14:30"
3;36;"2019-08-03 06:14:30";"2019-08-03 06:14:30"
3;37;"2019-08-03 06:14:30";"2019-08-03 06:14:30"
3;38;"2019-08-03 06:14:31";"2019-08-03 06:14:31"
3;39;"2019-08-03 06:14:31";"2019-08-03 06:14:31"
4;40;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;41;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;42;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;43;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;44;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;45;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;46;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;47;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;48;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;49;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;50;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;51;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;52;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;53;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;54;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;55;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;56;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;57;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;58;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;59;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;60;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;61;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;62;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;63;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;64;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
4;65;"2019-08-03 06:15:48";"2019-08-03 06:15:48"
5;66;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
5;67;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
5;68;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
5;69;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
5;70;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
5;71;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
5;72;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
5;73;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
5;74;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
5;75;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
5;76;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
5;77;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
5;78;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
5;79;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
5;80;"2019-08-03 06:17:06";"2019-08-03 06:17:06"
