"id";"indicador";"encuesta_id";"created_at";"updated_at"
1;"El tiempo dedicado al desmontaje es elevado, se requiere tomar acciones de mejora para reducirlos";3;"";""
2;"Se requiere revisión en los procesos de ensamble, los tiempos son elevados";3;"";""
3;"Se requiere mejorar la claridad de los procedimientos para las actividades de montaje, para mejorar los tiempos de cambio";3;"";""
4;"El tiempo invertido en los ajustes es elevado, se sugiere realizar acciones para disminuir el número de ajustes";3;"";""
5;"Las operaciones internas y externas no están claramente definidas para los cambios de productos, se requiere una clasificación y control clara de estas operaciones";3;"";""
6;"Se recomienda implementar programas de planeación por periodos (diaria, semanal, mensual, etc.), que permitan una mejor planeación, organizar  y coordinación de las actividades de cambios";3;"";""
7;"Se requiere realizar con anticipación las actividades externas para optimizar los tiempo en el cambio";3;"";""
8;"Se recomienda tomar medidas de mejora en la validación y control  de los set-up y rup-up";3;"";""
9;"Se requiere medición, monitoreo y/o seguimiento de los indicadores de tiempo y recursos utilizados en las actividades de cambio";4;"";""
10;"Se requiere atención en los procesos de cambios manuales, los tiempos pueden mejorarse implementando algún sistema de automatización";4;"";""
11;"Los procesos automatizados utilizados en el cambio no son suficientes para acortar el tiempo de cambio, se requiere una revisión de ellos";4;"";""
12;"Los ajustes requieren revisión de manera que sean más sencillos y rápidos de realizar";4;"";""
13;"Los sistemas de fijación no son los adecuados, se sugiere implementar sistemas de fijación modular que faciliten las actividades de cambios";4;"";""
14;"Existe retraso en el proceso de cambio de molde debido al uso de equipos y herramientas exclusivo del fabricante, se recomienda tomar medidas correctivas";4;"";""
15;"Se recomienda una reubicación de las herramientas para el montaje y desmontaje, ya que deberían ubicarse cerca de la máquina , estar organizadas y clasificadas";4;"";""
16;"Se debe revisar la implementación de  dispositivos de liberación rápida, para mejorar el tiempo del desmontaje, ensamble y montaje";4;"";""
17;"Se recomienda la utilización de elementos de ajuste rápido como tornillos de una vuelta, un movimiento o métodos combinados, herramientas de torque, arandelas, etc, para mejorar el tiempo";4;"";""
18;"Se requiere mayor espacio para el  acceso y manipulación del equipo para realizar las actividades de cambio";4;"";""
