"id";"pregunta"
1;"El equipo encargado de los cambios de modelo cuenta con habilidades y experiencia profesional"
2;"Existe una cultura organizacional hacia la mejora continua de procesos y del desarrollo y satisfacción de los miembros de la empresa"
3;"Todos los involucrados en la implementación de los cambios rápidos conocen el proceso"
4;"Las personas encargadas de realizar los cambios rápidos conocen el funcionamiento y mantenimiento de la máquina y/o equipo"
5;"Las personas involucradas en implementar los cambios rápidos cuentan con un programa de capacitación y entrenamiento para trabajar el equipo y uso de herramientas"
6;"Existe un compromiso de la alta gerencia para involucrarse y comprometerse en las mejora de las actividades de cambios rápidos"
7;"El personal encargado de realizar las actividades está comprometido y entiende de manera clara la importancia de realizar la actividad en el menor tiempo"
8;"Las personas involucradas a las actividades de cambios rápidos deben poseer capacidad y disposición para ejecutar varias tareas en los proceso de cambios (polifuncionalidad)"
9;"En la medida que él personas posee mayor especialización en el equipo, los tiempos de las actividades de cambios rápidos se reducen"
10;"La calidad con que se realiza las tareas individuales en la secuencia de actividades de los cambios rápidos impacta en el tiempo en que el equipo está disponible para correr el modelo sin generar desperdicios y cumpliendo con los requerimientos"
11;"Los roles de las personas que participan en las actividades de cambios rápidos, son asignados de acuerdo a su experiencia, conocimientos y habilidades lo que permite tener mayor resultados en el proceso"
12;"La comunicación verbal, escrita y visual entre las personas involucradas en las actividades de cambios rápidos es un factor importante para la realización de las tareas"
13;"El liderazgo de los responsables de los proyectos de cambios rápidos, motivan a las personas y dan claridad de los objetivos para un desempeño favorable"
14;"La motivación del personal incide positivamente en el desempeño de las actividades de cambios rápidos, principalmente en la calidad en las tareas, comunicación, trabajo en equipo y logro de los objetivos planteados"
15;"La persona responsable de dirigir, gestionar o administrar los proyectos de cambios rápidos colaboran en la planeación, seguimiento, gestión de recursos, supervisión, coordinación del personal, generan estadísticas, resuelven las incidencias y problemas y comunican los resultados de manera eficiente"
16;"El número de personas involucradas en las actividades de cambios rápidos son suficiente para lograr la eficiencia en los tiempos de cambio"
17;"La carga de trabajo de las personas que intervienen en el equipo es adecuada"
18;"Se cuenta claramente con las especificaciones del producto (planos, dibujos) lo cual facilita los cambios de modelo"
19;"Las especificaciones de calidad del producto afectan en los tiempos de los cambios rápidos"
20;"El volumen unitario el producto (tamaño), tiene un efecto en los cambios rápidos"
21;"La variedad de modelos de productos tiene un efecto en los tiempos de cambios rápidos"
22;"El tamaño del lote impacta a los tiempos de cambios rápidos"
23;"Las características del producto (componentes, dimensiones, forma, funciones, parámetros) impactan en los tiempos de cambios rapados"
24;"Las diferentes configuraciones de los productos tienen un efecto en los tiempos de cambios rápidos"
25;"Se cuenta claramente con las especificaciones del producto (planos, dibujos) lo cual facilita los cambios de modelo"
26;"Las especificaciones de calidad del producto afectan en los tiempos de los cambios rápidos"
27;"El volumen unitario el producto (tamaño), tiene un efecto en los cambios rápidos"
28;"La variedad de modelos de productos tiene un efecto en los tiempos de cambios rápidos"
29;"El tamaño del lote impacta a los tiempos de cambios rápidos"
30;"Las características del producto (componentes, dimensiones, forma, funciones, parámetros) impactan en los tiempos de cambios rapados"
31;"Las diferentes configuraciones de los productos tienen un efecto en los tiempos de cambios rápidos"
32;"El tiempo que se le invierte al desmontaje o cambiar los elementos que ya no son necesarios para la fabricación de un nuevo producto son relativamente cortos"
33;"El tiempo del ensamblaje de los elementos para la fabricación del nuevo producto son relativamente cortos, debido al cumplimiento de los principios de ensamblaje"
34;"Están claramente definidos las actividades del montaje como: ubicación, orientación, temperatura, velocidad, movimientos, limpieza, purga, etc. por lo que sus tiempos son cortos"
35;"Existe un número mínimo de ajustes en el proceso y están claramente definidos los criterios por lo que los tiempos son mínimos"
36;"Las operaciones del cambio están clasificadas y analizadas en operaciones internas y externas para su optimización"
37;"Los programas de producción permiten planificar, organizar y coordinar estratégicamente todas las actividades previas al nuevo producto"
38;"Las actividades externas se inician en tiempo y forma, lo que permite agilizar las actividades internas al proceso de cambio"
39;"Existe una validación y control del conjunto de valores ajustados, así como pruebas, controles de calidad e indicadores del set up"
40;"Los indicadores como tiempos de cambios y recursos utilizados para poner en marcha el nuevo producto son medidos y monitoreados"
41;"Los tiempos de cambios son mayores en los procesos que se realizan manualmente"
42;"La automatización de los equipos es una alternativa para la reducción de tiempos de cambio"
43;"Los ajustes son realizados con un mínimo esfuerzo, rápida apertura y cierre"
44;"Se utilizan sistema de fijación modular para facilitar los montajes y ensamblajes de piezas de la máquina."
45;"Existen equipos que manejan accesorios y herramientas exclusivas del fabricante que en ocasiones atrasa el proceso de cambio de modelo"
46;"Las herramientas, partes, accesorios necesarios para realizar el montaje y desmontaje se encuentran organizados y ubicadas cerca de la máquina y/o equipo"
47;"El equipo cuenta con dispositivos de liberación rápida que facilita las actividades de desmontaje, ensambles y montajes del equipo"
48;"El equipo utiliza elementos de ajustes rápidos como: tornillos de una vuelta, un movimiento o métodos combinados, herramientas de torque, arandelas, etc"
49;"Existe un buen acceso para el transporte y manipulación del equipo para realizar los cambios rápidos"
50;"Se cuenta con elementos especiales de transporte para el movimiento de materiales y herramientas, como pallet Jack, grúas portátiles, carros de accesorios y transportadores"
51;"La limpieza del equipo, herramientas y el área de trabajo es un elemento importante en la actividad de cambio"
52;"Se utilizan materiales ligeros en los moldes y en el equipo que facilitan la instalación, transporte y mantenimiento"
53;"Existen pocos mecanismos para realizar las actividades de cambio y no es necesario cambiar piezas completas o conexiones de tuberías"
54;"Las herramientas tienen pocos accesorios y se utilizan pocas herramientas manuales en las actividades de cambio"
55;"Las partes y herramientas esenciales para el cambio se encuentran estandarizadas"
56;"Se utilizan dispositivos de sujeción para mantener objetos fijos en un sitio con un esfuerzo mínimo"
57;"Existen universalidad en las herramientas, herrajes y piezas utilizadas en los procesos"
58;"Los equipos son tolerantes a la fabricación de modelos respecto a sus dimensiones, resistencia, peso, etc"
59;"Las piezas defectuosas son identificadas y separadas"
60;"Se utilizan sistemas a prueba y error (poka-yoke), para evitar errores y garantizar la calidad y la seguridad en las actividades de cambios rápidos"
61;"Las configuraciones productivas como: talleres, centros de trabajo, líneas de producción, fabricación modular, fabricación continua, etc., que maneja la empresa tienen un efecto sobre los tiempos de cambios rápidos"
62;"Existen mecanismos y/o controles para lograr y mantener la precisión de las piezas de cambio y garantizar la calidad del producto"
63;"Con una revisión visual se puede saber si los materiales, herramientas, etc., están presentes para llevar a cabo el cambio rápido ya que son Identificación con facilidad por color, grabado, acabado, etc"
64;"Las tareas son independientes, por lo que hace posible el trabajo de manera simultánea entre operadores para agilizar el cambio"
65;"La falta de mantenimiento en los equipos afecta al buen desempeño de los cambios rápidos"
66;"Existe una estructura organizacional clara que permite que cada persona conozca su rol y sus responsabilidades"
67;"Existe un área o grupo específico para la mejora continua de los procesos de la empresa, y desde ahí se plantean y se abordan los problemas y la reducción de tiempos de los equipos"
68;"Se tienen objetivos estratégicos para reducir los tiempos de cambios, incrementar la disponibilidad de la maquina o equipo y la reducción de costos relacionadas con las actividades de cambio"
69;"Se cuenta con objetivos establecidos para reducir los desperdicios ocasionados en las actividades de cambios rápidos"
70;"Existe apoyo económico para la implementación de mejoras en el equipo, herramientas, área de trabajo etc. que simplifique y mejore la calidad en las actividades de cambio"
71;"En el proceso de mejora se utilizan herramientas para el análisis de como 5 porqués, diagramas de Pareto, diagramas de causa efecto, ciclo de PDCA, gráficas de control, entre otras que ayudan a identificar las áreas de oportunidad en las actividades de cambios"
72;"Se hacen uso de técnicas complementarias para la mejora de los procesos como 5´s, Poka yoke, Justo a Tiempo, TPM, Kanban, DMAIC, Mapeo de Cadena de Valor, Trabajo Estandarizado, Kaizen, entre otras que apoyan a la eficiencia de los tiempos de cambio"
73;"La implementación de varias metodologías de mejora continua a la vez favorecen a las actividades de cambio rápidos"
74;"Cada vez que se implementa una acción de mejora, se actualizan los procedimientos del cambio"
75;"La alta dirección apoya la implementación de proyectos de cambios rápidos"
76;"Los procedimientos para realizar los cambios rápidos se encuentran documentados"
77;"Al momento de realizar el cambio, se siguen los procedimientos en el orden y secuencia indicada"
78;"Se cuenta con la información del tiempo requerido para realizar cada uno de los cambios"
79;"Cada vez que se implementa una acción de mejora, se actualizan los procedimientos del cambio"
80;"Existe un reporte de las incidencias encontradas en los procesos para la realización de un cambio"
81;"Se tienen identificadas las tareas o actividades necesarias para realizar el cambio rápido"
82;"Existen procedimientos de reajuste que den un enlace directo entre una falla observada en el producto y el parámetro que debe ser reajustado"
83;"Los cambios no planeados en el plan de producción diaria afectan los tiempos de cambios de modelos"
84;"Sólo se utilizan las herramientas, materiales y medios de control establecidos para realizar el cambio"
85;"Las condiciones del entorno (medioambientales, puesto de trabajo, estanterías, etc.) son adecuados para llevar a cabo los cambios rápidos"
86;"Se cuenta con equipo de protección para la seguridad del personal que realiza las tareas de cambios rápidos"
